Drug,Target,Action,Pathway,Reference
Palmatine,PI3K/AKT,Inhibition,PI3K/AKT signaling,Li et al. (2023b); Chen et al. (2021); Wu et al. (2021)
Palmatine,STAT3,Inhibition,JAK/STAT signaling,Li et al. (2023b); Chen et al. (2021)
Palmatine,NF-kB,Inhibition,NF-kB signaling,Li et al. (2023b); Wu et al. (2021)
Palmatine,ERK,Inhibition,MAPK signaling,Chen et al. (2021); Wu et al. (2021)
Palmatine,Cyclin D1,Inhibition,Cell cycle,Li et al. (2023b); Chen et al. (2021)
Berberine,PI3K/AKT,Inhibition,PI3K/AKT signaling,Almatroodi et al. (2022); Bulle et al. (2024)
Berberine,TGF-B,Inhibition,TGF-B signaling,Zhou et al. (2009); Park et al. (2015)
Berberine,AMPK,Activation,Energy sensing/mTOR,Zhu et al. (2018); Wang et al. (2015)
Berberine,NF-ÎºB,Inhibition,NF-kB signaling,Almatroodi et al. (2022); Sun et al. (2020)
Berberine,ERK,Inhibition,MAPK signaling,Park et al. (2015); Sun et al. (2020)
Berberine,mTOR,Inhibition,mTOR signaling,Wang et al. (2015); Zhu et al. (2018)
Berberine,RAS,Inhibition,MAPK signaling,Bulle et al. (2024); Zhou et al. (2009)
Abraxane,BCL-XL,Inhibition,Apoptosis,Roberts et al. (2017)
Abraxane,PTEN,Activation,PI3K/AKT signaling,Roberts et al. (2017); Von Hoff et al. (2013)
Abraxane,CDK4/1,Inhibition,Cell cycle,Roberts et al. (2017)
Abraxane,p21,Activation,Cell cycle/p53,Roberts et al. (2017)
Gemcitabine,p53,Activation,p53 signaling,Sullivan et al. (2013); El-Rayes et al. (2018)
Gemcitabine,JAK,Inhibition,JAK/STAT signaling,El-Rayes et al. (2018)
Gefitinib,PI3K/AKT,Inhibition,PI3K/AKT signaling,Li et al. (2015); Wikipedia contributors (2025)
Gefitinib,RAS/RAF/MEK/ERK,Inhibition,MAPK signaling,Li et al. (2015)
Gefitinib,STAT3,Inhibition,JAK/STAT signaling,Li et al. (2015)
Gefitinib,EGFR,Inhibition,EGFR/ERBB signaling,Li et al. (2015); Wikipedia contributors (2025)
Gefitinib,Cyclin D1,Inhibition,Cell cycle,Li et al. (2015)
Dacomitinib,PI3K/AKT,Inhibition,PI3K/AKT signaling,Liu et al. (2018); Zhao et al. (2024)
Dacomitinib,MEK,Inhibition,MAPK signaling,Janne et al. (2015); Zhao et al. (2024)
Dacomitinib,STAT3,Inhibition,JAK/STAT signaling,Liu et al. (2018)
Dacomitinib,EGFR,Inhibition,EGFR/ERBB signaling,Liu et al. (2018); Janne et al. (2015)
Dacomitinib,ErbB2,Inhibition,EGFR/ERBB signaling,Zhao et al. (2024); Janne et al. (2015)
Dacomitinib,Cyclin D1,Inhibition,Cell cycle,Liu et al. (2018)
Afatinib,PI3K/AKT,Inhibition,PI3K/AKT signaling,Zhang et al. (2017b); Park et al. (2020)
Afatinib,MEK,Inhibition,MAPK signaling,Park et al. (2020); Kim et al. (2019)
Afatinib,ERK,Inhibition,MAPK signaling,Zhang et al. (2017b); Kim et al. (2019)
Afatinib,STAT3,Inhibition,JAK/STAT signaling,Park et al. (2020)
Afatinib,EGFR,Inhibition,EGFR/ERBB signaling,Zhang et al. (2017b); Kim et al. (2019)
Afatinib,TGF-B,Inhibition,TGF-B signaling,Park et al. (2020)
Afatinib,ErbB2,Inhibition,EGFR/ERBB signaling,Zhang et al. (2017b); Park et al. (2020)
GANT61,Cyclin D1,Inhibition,Cell cycle,Zhang et al. (2017a); Lin et al. (2017)
GANT61,BCL-XL,Inhibition,Apoptosis,Zhang et al. (2017a); Lin et al. (2017)
GANT61,GLI1,Inhibition,Hedgehog/GLI signaling,Zhang et al. (2017a); Lin et al. (2017)
